id,name,role,rating,reviews,location,experience,specialization,skills,availability,charges,chargeNum,phone,email,photo,bio,review1_name,review1_stars,review1_text,review2_name,review2_stars,review2_text
1,Dr. Arjun Mehta,Senior Cardiologist,4.9,312,Delhi,22 yrs,Elderly Care|Post Surgery Care,ECG|Angioplasty,Available,Rs1500,1500,+91 98110 44201,arjun.mehta@aiims.edu,https://randomuser.me/api/portraits/men/32.jpg,Senior Cardiologist at AIIMS Delhi,Rahul S.,5,Excellent very thorough,Meena K.,5,My father recovered well
2,Dr. Priya Sharma,Home Nursing Specialist,4.8,289,Mumbai,15 yrs,Home Nursing|Dementia Care,IV Therapy|Wound Care,Available,Rs900,900,+91 97690 11223,priya.sharma@fortis.com,https://randomuser.me/api/portraits/women/44.jpg,Specialist in home-based nursing care,Sunita R.,5,Very gentle and professional,,,
3,Dr. Suresh Patel,Geriatric Specialist,4.7,198,Ahmedabad,18 yrs,Elderly Care|Palliative Care,Pain Management|Geriatric Assessment,Busy,Rs1200,1200,+91 96641 77890,suresh.patel@apolloah.com,https://randomuser.me/api/portraits/men/55.jpg,Expert in geriatric medicine,Priya M.,5,Knowledgeable about elderly care,,,
4,Dr. Nandita Rao,Neuro Rehabilitation,4.9,407,Bangalore,20 yrs,Stroke Recovery|Post Surgery Care,Physiotherapy|Speech Therapy,Emergency,Rs2000,2000,+91 80123 45678,nandita.rao@nimhans.edu,https://randomuser.me/api/portraits/women/68.jpg,Leading neuro rehab at NIMHANS Bangalore,Rajesh T.,5,Helped my mother walk again,,,
5,Dr. Ramesh Kumar,Palliative Care Expert,4.6,155,Chennai,14 yrs,Palliative Care|Night Care,Symptom Control|Family Counseling,Available,Rs800,800,+91 44987 65432,ramesh.kumar@cmch.edu,https://randomuser.me/api/portraits/men/23.jpg,Compassionate palliative care physician,Lalitha S.,5,His compassion was a blessing,,,
6,Dr. Anjali Singh,Paediatric Nurse,4.8,273,Delhi,11 yrs,Home Nursing|Post Surgery Care,Neonatal Care|Paediatric IV,Available,Rs1100,1100,+91 98218 33001,anjali.singh@safdarjung.org,https://randomuser.me/api/portraits/women/12.jpg,Paediatric nurse specialist,Deepak A.,5,Wonderful with children,,,
7,Dr. Vikram Nair,Ortho Rehab Specialist,4.5,134,Kochi,9 yrs,Post Surgery Care|Stroke Recovery,Joint Rehab|Gait Training,Available,Rs1000,1000,+91 94460 22334,vikram.nair@amrita.edu,https://randomuser.me/api/portraits/men/67.jpg,Post-surgical orthopaedic rehab,Binu M.,4,Good recovery protocol,,,
8,Dr. Meera Iyer,Oncology Care Nurse,4.9,388,Hyderabad,16 yrs,Palliative Care|Night Care,Chemo Support|Pain Mgmt,Busy,Rs1800,1800,+91 40991 12345,meera.iyer@tmc.gov.in,https://randomuser.me/api/portraits/women/29.jpg,Senior oncology nurse,Ravi K.,5,Made a difficult time bearable,,,
9,Dr. Rajiv Gupta,Diabetologist,4.7,241,Noida,19 yrs,Elderly Care|Home Nursing,Insulin Therapy|Diabetic Foot Care,Available,Rs1300,1300,+91 98997 88761,rajiv.gupta@medanta.org,https://randomuser.me/api/portraits/men/41.jpg,Diabetes specialist for home care,Sonia G.,5,Keeps father's diabetes managed,,,
10,Dr. Sneha Joshi,Dementia Care Specialist,4.8,176,Pune,13 yrs,Dementia Care|Elderly Care,Cognitive Therapy|Behavioural Mgmt,Emergency,Rs1500,1500,+91 20876 54321,sneha.joshi@rubycare.com,https://randomuser.me/api/portraits/women/53.jpg,Dedicated dementia care expert,Anita B.,5,Truly understands dementia,,,
11,Dr. Aditya Chopra,Pulmonologist,4.6,193,Gurgaon,17 yrs,Post Surgery Care|Elderly Care,Ventilator Mgmt|Pulmonary Rehab,Available,Rs1600,1600,+91 96501 23456,aditya.chopra@medanta.org,https://randomuser.me/api/portraits/men/78.jpg,Pulmonologist for elderly respiratory care,Vinod S.,4,Helped father recover from pneumonia,,,
12,Dr. Kavitha Reddy,Physiotherapist,4.7,321,Hyderabad,10 yrs,Stroke Recovery|Post Surgery Care,Manual Therapy|Electrotherapy,Available,Rs700,700,+91 91023 45678,kavitha.reddy@yashoda.com,https://randomuser.me/api/portraits/women/37.jpg,Passionate physiotherapist,Arjun P.,5,Knee much better after sessions,,,
13,Dr. Mohan Pillai,Geriatric Psychiatrist,4.9,267,Thiruvananthapuram,24 yrs,Dementia Care|Palliative Care,Psychogeriatrics|Family Therapy,Available,Rs2200,2200,+91 94959 87654,mohan.pillai@gmck.ac.in,https://randomuser.me/api/portraits/men/90.jpg,Distinguished geriatric psychiatrist,Rekha M.,5,Mother's dementia better managed,,,
